,survived,age,sibsp,parch,fare,male,Q,S,2.0,3.0
0,1.0,29.0,0.0,0.0,211.3375,0.0,0.0,1.0,0.0,0.0
1,1.0,0.9167,1.0,2.0,151.55,1.0,0.0,1.0,0.0,0.0
2,0.0,2.0,1.0,2.0,151.55,0.0,0.0,1.0,0.0,0.0
3,0.0,30.0,1.0,2.0,151.55,1.0,0.0,1.0,0.0,0.0
4,0.0,25.0,1.0,2.0,151.55,0.0,0.0,1.0,0.0,0.0
5,1.0,48.0,0.0,0.0,26.55,1.0,0.0,1.0,0.0,0.0
6,1.0,63.0,1.0,0.0,77.9583,0.0,0.0,1.0,0.0,0.0
7,0.0,39.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8,1.0,53.0,2.0,0.0,51.4792,0.0,0.0,1.0,0.0,0.0
9,0.0,71.0,0.0,0.0,49.5042,1.0,0.0,0.0,0.0,0.0
10,0.0,47.0,1.0,0.0,227.525,1.0,0.0,0.0,0.0,0.0
11,1.0,18.0,1.0,0.0,227.525,0.0,0.0,0.0,0.0,0.0
12,1.0,24.0,0.0,0.0,69.3,0.0,0.0,0.0,0.0,0.0
13,1.0,26.0,0.0,0.0,78.85,0.0,0.0,1.0,0.0,0.0
14,1.0,80.0,0.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0
15,0.0,28.0,0.0,0.0,25.925,1.0,0.0,1.0,0.0,0.0
16,0.0,24.0,0.0,1.0,247.5208,1.0,0.0,0.0,0.0,0.0
17,1.0,50.0,0.0,1.0,247.5208,0.0,0.0,0.0,0.0,0.0
18,1.0,32.0,0.0,0.0,76.2917,0.0,0.0,0.0,0.0,0.0
19,0.0,36.0,0.0,0.0,75.2417,1.0,0.0,0.0,0.0,0.0
20,1.0,37.0,1.0,1.0,52.5542,1.0,0.0,1.0,0.0,0.0
21,1.0,47.0,1.0,1.0,52.5542,0.0,0.0,1.0,0.0,0.0
22,1.0,26.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0
23,1.0,42.0,0.0,0.0,227.525,0.0,0.0,0.0,0.0,0.0
24,1.0,29.0,0.0,0.0,221.7792,0.0,0.0,1.0,0.0,0.0
25,0.0,25.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0
26,1.0,25.0,1.0,0.0,91.0792,1.0,0.0,0.0,0.0,0.0
27,1.0,19.0,1.0,0.0,91.0792,0.0,0.0,0.0,0.0,0.0
28,1.0,35.0,0.0,0.0,135.6333,0.0,0.0,1.0,0.0,0.0
29,1.0,28.0,0.0,0.0,26.55,1.0,0.0,1.0,0.0,0.0
30,0.0,45.0,0.0,0.0,35.5,1.0,0.0,1.0,0.0,0.0
31,1.0,40.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0
32,1.0,30.0,0.0,0.0,164.8667,0.0,0.0,1.0,0.0,0.0
33,1.0,58.0,0.0,0.0,26.55,0.0,0.0,1.0,0.0,0.0
34,0.0,42.0,0.0,0.0,26.55,1.0,0.0,1.0,0.0,0.0
35,1.0,45.0,0.0,0.0,262.375,0.0,0.0,0.0,0.0,0.0
36,1.0,22.0,0.0,1.0,55.0,0.0,0.0,1.0,0.0,0.0
37,1.0,28.0,0.0,0.0,26.55,1.0,0.0,1.0,0.0,0.0
38,0.0,41.0,0.0,0.0,30.5,1.0,0.0,1.0,0.0,0.0
39,0.0,48.0,0.0,0.0,50.4958,1.0,0.0,0.0,0.0,0.0
40,0.0,28.0,0.0,0.0,39.6,1.0,0.0,0.0,0.0,0.0
41,1.0,44.0,0.0,0.0,27.7208,0.0,0.0,0.0,0.0,0.0
42,1.0,59.0,2.0,0.0,51.4792,0.0,0.0,1.0,0.0,0.0
43,1.0,60.0,0.0,0.0,76.2917,0.0,0.0,0.0,0.0,0.0
44,1.0,41.0,0.0,0.0,134.5,0.0,0.0,0.0,0.0,0.0
45,0.0,45.0,0.0,0.0,26.55,1.0,0.0,1.0,0.0,0.0
46,0.0,28.0,0.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0
47,1.0,42.0,0.0,0.0,26.2875,1.0,0.0,1.0,0.0,0.0
48,1.0,53.0,0.0,0.0,27.4458,0.0,0.0,0.0,0.0,0.0
49,1.0,36.0,0.0,1.0,512.3292,1.0,0.0,0.0,0.0,0.0
50,1.0,58.0,0.0,1.0,512.3292,0.0,0.0,0.0,0.0,0.0
51,0.0,33.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0
52,0.0,28.0,0.0,0.0,47.1,1.0,0.0,1.0,0.0,0.0
53,0.0,17.0,0.0,0.0,47.1,1.0,0.0,1.0,0.0,0.0
54,1.0,11.0,1.0,2.0,120.0,1.0,0.0,1.0,0.0,0.0
55,1.0,14.0,1.0,2.0,120.0,0.0,0.0,1.0,0.0,0.0
56,1.0,36.0,1.0,2.0,120.0,1.0,0.0,1.0,0.0,0.0
57,1.0,36.0,1.0,2.0,120.0,0.0,0.0,1.0,0.0,0.0
58,0.0,49.0,0.0,0.0,26.0,1.0,0.0,1.0,0.0,0.0
59,1.0,28.0,0.0,0.0,27.7208,0.0,0.0,0.0,0.0,0.0
60,0.0,36.0,1.0,0.0,78.85,1.0,0.0,1.0,0.0,0.0
61,1.0,76.0,1.0,0.0,78.85,0.0,0.0,1.0,0.0,0.0
62,0.0,46.0,1.0,0.0,61.175,1.0,0.0,1.0,0.0,0.0
63,1.0,47.0,1.0,0.0,61.175,0.0,0.0,1.0,0.0,0.0
